mesure,indicateur,valeur,duree_secondes,date
volume,lignes,3283035,0.2776,2026-09-20T21:21:28+00:00
volume,uid_distincts,1845800,0.2776,2026-09-20T21:21:28+00:00
volume,acheteurs,29069,0.2776,2026-09-20T21:21:28+00:00
volume,titulaires,216335,0.2776,2026-09-20T21:21:28+00:00
lignes_par_uid,uid_une_seule_ligne,1420063,0.1191,2026-09-20T21:21:28+00:00
lignes_par_uid,uid_plusieurs_lignes,425737,0.1191,2026-09-20T21:21:28+00:00
lignes_par_uid,maximum_lignes_pour_un_uid,1603,0.1191,2026-09-20T21:21:28+00:00
origine_des_lignes_multiples,multi_titulaires,273494,0.5,2026-09-20T21:21:28+00:00
origine_des_lignes_multiples,doublons_residuels,7764,0.5,2026-09-20T21:21:28+00:00
lignes_actuelles,lignes,2114675,0.1171,2026-09-20T21:21:28+00:00
lignes_actuelles,marches,1833468,0.1171,2026-09-20T21:21:28+00:00
montants,absents,48596,0.1374,2026-09-20T21:21:28+00:00
montants,negatifs_ou_nuls,59588,0.1374,2026-09-20T21:21:28+00:00
montants,superieurs_au_milliard,2197,0.1374,2026-09-20T21:21:28+00:00
montants,minimum,-2676107.0,0.1374,2026-09-20T21:21:28+00:00
montants,mediane,167832.96,0.1374,2026-09-20T21:21:28+00:00
montants,maximum,99999999999.99,0.1374,2026-09-20T21:21:28+00:00
anomalies_du_producteur,suspects,98815,0.0192,2026-09-20T21:21:28+00:00
anomalies_du_producteur,aberrants,32413,0.0192,2026-09-20T21:21:28+00:00
dates,absentes,31812,0.0126,2026-09-20T21:21:28+00:00
dates,plus_ancienne,0001-01-01,0.0126,2026-09-20T21:21:28+00:00
dates,plus_recente,2026-09-19,0.0126,2026-09-20T21:21:28+00:00
dates,avant_2015,1441,0.0126,2026-09-20T21:21:28+00:00
dates,dans_le_futur,0,0.0126,2026-09-20T21:21:28+00:00
offres_recues,absentes,1903309,0.0178,2026-09-20T21:21:28+00:00
offres_recues,une_seule_offre,290752,0.0178,2026-09-20T21:21:28+00:00
offres_recues,maximum,20300,0.0178,2026-09-20T21:21:28+00:00
