part_titulaires,part_montants
0.0,1.46
0.0,2.61
0.0,3.4
0.0,4.04
0.0,4.69
0.0,5.29
0.0,5.68
0.0,6.06
0.0,6.45
0.0,6.78
0.24,33.6
0.48,42.74
0.72,48.64
0.96,53.02
1.2,56.5
1.44,59.39
1.68,61.85
1.92,63.99
2.16,65.89
2.4,67.58
2.64,69.1
2.88,70.47
3.12,71.72
3.36,72.87
3.6,73.93
3.84,74.91
4.08,75.82
4.32,76.67
4.56,77.47
4.8,78.22
5.04,78.92
5.28,79.59
5.52,80.22
5.77,80.82
6.01,81.39
6.25,81.93
6.49,82.44
6.73,82.93
6.97,83.4
7.21,83.85
7.45,84.27
7.69,84.68
7.93,85.07
8.17,85.45
8.41,85.81
8.65,86.16
8.89,86.49
9.13,86.81
9.37,87.12
9.61,87.42
9.85,87.71
10.09,87.99
10.33,88.26
10.57,88.52
10.81,88.77
11.05,89.01
11.29,89.25
11.53,89.48
11.77,89.7
12.01,89.91
12.25,90.12
12.49,90.32
12.73,90.52
12.97,90.71
13.21,90.89
13.45,91.08
13.69,91.25
13.93,91.42
14.17,91.59
14.41,91.75
14.65,91.91
14.89,92.06
15.13,92.21
15.37,92.36
15.61,92.5
15.85,92.64
16.09,92.78
16.33,92.91
16.57,93.04
16.81,93.16
17.05,93.29
17.3,93.41
17.54,93.53
17.78,93.64
18.02,93.76
18.26,93.87
18.5,93.97
18.74,94.08
18.98,94.18
19.22,94.28
19.46,94.38
19.7,94.48
19.94,94.57
20.18,94.66
20.42,94.75
20.66,94.84
20.9,94.93
21.14,95.01
21.38,95.09
21.62,95.18
21.86,95.25
22.1,95.33
22.34,95.41
22.58,95.48
22.82,95.56
23.06,95.63
23.3,95.7
23.54,95.77
23.78,95.84
24.02,95.9
24.26,95.97
24.5,96.03
24.74,96.1
24.98,96.16
25.22,96.22
25.46,96.28
25.7,96.34
25.94,96.39
26.18,96.45
26.42,96.51
26.66,96.56
26.9,96.61
27.14,96.67
27.38,96.72
27.62,96.77
27.86,96.82
28.1,96.87
28.34,96.91
28.58,96.96
28.83,97.01
29.07,97.05
29.31,97.1
29.55,97.14
29.79,97.19
30.03,97.23
30.27,97.27
30.51,97.31
30.75,97.35
30.99,97.39
31.23,97.43
31.47,97.47
31.71,97.5
31.95,97.54
32.19,97.58
32.43,97.61
32.67,97.65
32.91,97.68
33.15,97.72
33.39,97.75
33.63,97.79
33.87,97.82
34.11,97.85
34.35,97.88
34.59,97.91
34.83,97.94
35.07,97.97
35.31,98.0
35.55,98.03
35.79,98.06
36.03,98.09
36.27,98.12
36.51,98.15
36.75,98.17
36.99,98.2
37.23,98.22
37.47,98.25
37.71,98.28
37.95,98.3
38.19,98.33
38.43,98.35
38.67,98.37
38.91,98.4
39.15,98.42
39.39,98.44
39.63,98.47
39.87,98.49
40.11,98.51
40.36,98.53
40.6,98.55
40.84,98.57
41.08,98.59
41.32,98.62
41.56,98.63
41.8,98.65
42.04,98.67
42.28,98.69
42.52,98.71
42.76,98.73
43.0,98.75
43.24,98.77
43.48,98.79
43.72,98.8
43.96,98.82
44.2,98.84
44.44,98.85
44.68,98.87
44.92,98.89
45.16,98.9
45.4,98.92
45.64,98.93
45.88,98.95
46.12,98.97
46.36,98.98
46.6,99.0
46.84,99.01
47.08,99.02
47.32,99.04
47.56,99.05
47.8,99.07
48.04,99.08
48.28,99.09
48.52,99.11
48.76,99.12
49.0,99.13
49.24,99.14
49.48,99.16
49.72,99.17
49.96,99.18
50.2,99.19
50.44,99.21
50.68,99.22
50.92,99.23
51.16,99.24
51.4,99.25
51.64,99.26
51.89,99.27
52.13,99.28
52.37,99.3
52.61,99.31
52.85,99.32
53.09,99.33
53.33,99.34
53.57,99.35
53.81,99.36
54.05,99.37
54.29,99.37
54.53,99.38
54.77,99.39
55.01,99.4
55.25,99.41
55.49,99.42
55.73,99.43
55.97,99.44
56.21,99.45
56.45,99.45
56.69,99.46
56.93,99.47
