mois,marches
2019-01-01 00:00:00,8778
2019-02-01 00:00:00,7790
2019-03-01 00:00:00,10137
2019-04-01 00:00:00,11604
2019-05-01 00:00:00,11697
2019-06-01 00:00:00,13766
2019-07-01 00:00:00,17803
2019-08-01 00:00:00,8922
2019-09-01 00:00:00,9969
2019-10-01 00:00:00,13480
2019-11-01 00:00:00,12418
2019-12-01 00:00:00,15539
2020-01-01 00:00:00,17167
2020-02-01 00:00:00,14671
2020-03-01 00:00:00,15912
2020-04-01 00:00:00,9782
2020-05-01 00:00:00,9970
2020-06-01 00:00:00,15975
2020-07-01 00:00:00,18402
2020-08-01 00:00:00,11797
2020-09-01 00:00:00,15591
2020-10-01 00:00:00,18360
2020-11-01 00:00:00,17690
2020-12-01 00:00:00,25866
2021-01-01 00:00:00,19394
2021-02-01 00:00:00,17148
2021-03-01 00:00:00,22621
2021-04-01 00:00:00,20730
2021-05-01 00:00:00,20351
2021-06-01 00:00:00,25923
2021-07-01 00:00:00,25272
2021-08-01 00:00:00,16088
2021-09-01 00:00:00,18590
2021-10-01 00:00:00,20441
2021-11-01 00:00:00,22385
2021-12-01 00:00:00,32342
2022-01-01 00:00:00,22521
2022-02-01 00:00:00,19002
2022-03-01 00:00:00,23460
2022-04-01 00:00:00,21854
2022-05-01 00:00:00,24668
2022-06-01 00:00:00,26848
2022-07-01 00:00:00,28718
2022-08-01 00:00:00,19387
2022-09-01 00:00:00,20045
2022-10-01 00:00:00,22863
2022-11-01 00:00:00,25056
2022-12-01 00:00:00,33054
2023-01-01 00:00:00,25627
2023-02-01 00:00:00,20692
2023-03-01 00:00:00,25395
2023-04-01 00:00:00,20509
2023-05-01 00:00:00,21966
2023-06-01 00:00:00,27988
2023-07-01 00:00:00,28469
2023-08-01 00:00:00,19463
2023-09-01 00:00:00,20020
2023-10-01 00:00:00,25830
2023-11-01 00:00:00,26486
2023-12-01 00:00:00,33911
2024-01-01 00:00:00,25043
2024-02-01 00:00:00,24034
2024-03-01 00:00:00,26861
2024-04-01 00:00:00,27278
2024-05-01 00:00:00,22868
2024-06-01 00:00:00,29693
2024-07-01 00:00:00,34652
2024-08-01 00:00:00,18037
2024-09-01 00:00:00,21031
2024-10-01 00:00:00,28209
2024-11-01 00:00:00,25794
2024-12-01 00:00:00,38612
2025-01-01 00:00:00,28036
2025-02-01 00:00:00,21422
2025-03-01 00:00:00,26031
2025-04-01 00:00:00,27386
2025-05-01 00:00:00,24971
2025-06-01 00:00:00,31116
2025-07-01 00:00:00,37655
2025-08-01 00:00:00,19208
2025-09-01 00:00:00,25345
2025-10-01 00:00:00,32751
2025-11-01 00:00:00,29047
2025-12-01 00:00:00,40788
2026-01-01 00:00:00,30556
2026-02-01 00:00:00,29245
2026-03-01 00:00:00,39082
2026-04-01 00:00:00,24773
2026-05-01 00:00:00,22147
2026-06-01 00:00:00,32836
