famille_cpv,marches,montant_median
45,821967,146538.0
71,249815,105300.0
79,103818,92968.0
33,78628,82938.0
90,74867,167985.0
50,69351,125000.0
34,53844,103600.0
44,50766,112500.0
72,47604,123586.0
39,46704,90000.0
15,42113,115475.0
60,40043,256675.0
66,37454,77042.0
77,32056,112000.0
30,31738,102246.0
09,26340,196461.0
80,25185,85500.0
92,24643,61750.0
55,20284,150000.0
31,17781,115473.0
32,16810,160000.0
18,16163,80000.0
75,15183,86522.0
38,14862,103133.0
48,14394,135000.0
42,14173,83000.0
85,13947,200000.0
22,12340,73656.0
64,10970,179247.0
03,9974,80000.0
37,8884,69230.0
35,8093,90000.0
98,7477,124376.0
24,7348,100000.0
