latitude,longitude,marches
48.8,2.4,50533
48.9,2.3,47366
48.9,2.4,45514
43.3,5.4,42241
48.8,2.3,38431
43.6,1.4,30070
50.6,3.1,23651
47.9,1.9,22523
45.2,5.7,20223
44.8,-0.6,19697
48.1,-1.7,19569
45.8,4.8,18245
43.6,3.9,17732
43.7,7.3,17725
45.8,4.9,16831
47.2,6.0,16705
49.1,6.2,15888
48.6,7.7,14299
49.2,-0.4,14290
48.6,7.8,13442
49.4,1.1,13350
47.2,-1.6,13044
42.7,2.9,12595
43.6,1.5,12554
46.7,-1.4,12431
45.4,4.4,12295
43.9,-0.5,11982
45.8,1.3,11731
45.9,6.1,11609
46.2,5.2,11109
43.1,5.9,11053
47.4,0.7,10853
48.0,0.2,10664
48.9,2.2,10450
51.0,2.4,10309
43.3,-0.4,10125
45.6,5.9,9922
45.7,4.8,9902
43.6,3.8,9861
47.5,-0.6,9201
48.1,-0.8,8894
48.8,2.5,8150
45.8,3.1,8110
48.6,2.4,7897
47.3,-2.2,7883
43.9,4.8,7640
48.7,6.2,7462
43.8,4.4,7384
43.7,7.2,7351
46.3,4.8,7223
45.7,4.9,7208
48.3,4.1,7190
48.0,-4.1,7106
41.9,8.7,7098
47.2,-1.5,7095
44.9,-0.6,6898
43.5,-1.5,6895
44.2,0.6,6880
44.9,4.9,6839
49.4,2.1,6835
49.9,2.3,6816
48.1,-1.6,6595
47.3,5.0,6592
43.6,7.1,6554
48.8,2.6,6545
50.4,3.5,6450
48.9,2.5,6355
48.2,6.4,5861
50.3,2.8,5805
48.1,7.3,5403
43.2,0.1,5319
48.9,2.6,5113
46.3,-0.5,5073
49.1,-1.1,5061
49.5,0.1,4965
48.5,-2.8,4957
43.2,2.4,4859
50.4,2.8,4712
43.0,1.6,4657
49.2,5.4,4632
46.8,1.7,4596
50.4,3.1,4555
48.8,2.2,4518
47.0,3.1,4498
44.6,6.1,4476
44.0,1.4,4425
44.9,2.4,4343
47.1,2.4,4322
48.4,-4.5,4313
47.7,-2.8,4182
48.8,7.8,4143
46.6,3.3,4136
47.5,-0.5,4135
47.6,1.3,4120
45.8,1.2,4085
49.2,4.0,4050
49.0,2.4,4021
48.4,1.5,3980
48.8,2.1,3848
49.3,4.0,3828
48.5,2.7,3791
48.7,2.2,3781
48.8,5.2,3743
45.3,1.8,3717
47.1,-0.9,3688
45.6,0.2,3678
47.5,6.8,3543
43.3,3.2,3531
45.0,3.9,3507
47.3,5.1,3493
50.6,3.0,3464
50.7,1.6,3452
49.0,4.4,3410
46.1,-1.2,3328
48.1,7.4,3298
49.6,3.6,3229
48.9,2.1,3216
43.5,5.4,3195
48.7,2.4,3146
46.1,6.4,3135
46.6,0.4,3060
48.5,-2.7,3031
49.0,1.1,3008
49.1,0.2,2978
49.0,2.1,2974
43.8,4.3,2963
43.2,3.0,2961
49.2,-0.3,2961
44.0,4.5,2925
43.6,7.0,2887
43.6,1.3,2880
48.7,2.3,2878
49.6,-1.6,2836
47.8,3.6,2828
43.1,5.8,2824
43.1,6.0,2752
44.1,6.2,2746
50.7,3.1,2735
49.0,2.3,2721
49.0,2.5,2711
47.0,3.2,2677
50.7,3.2,2674
46.0,4.1,2660
50.3,4.0,2639
49.8,4.7,2627
47.3,0.7,2621
49.0,2.2,2585
43.4,5.2,2550
45.2,0.7,2536
47.7,7.3,2536
44.5,3.5,2479
46.1,3.4,2456
45.7,-0.7,2426
43.4,3.7,2384
47.6,6.2,2334
46.4,6.5,2318
47.6,6.9,2314
46.6,0.3,2310
45.8,5.0,2273
45.4,6.6,2255
48.7,2.5,2238
43.6,0.6,2236
43.3,-0.3,2218
49.8,3.3,2208
43.6,5.1,2178
46.7,5.6,2173
44.1,4.1,2164
49.2,1.2,2135
46.3,5.7,2096
48.4,0.1,2093
46.3,2.6,2079
43.3,6.6,2062
49.3,2.5,2056
43.4,6.1,2016
43.6,3.7,1976
43.7,4.6,1966
47.7,-3.4,1953
45.9,3.1,1936
45.5,4.9,1915
49.3,-0.7,1915
48.8,2.0,1912
47.7,-2.7,1895
48.5,7.5,1894
47.3,-0.1,1892
48.8,-1.6,1889
49.4,6.2,1848
47.8,7.3,1828
43.3,6.5,1816
47.9,-3.9,1807
44.3,2.6,1807
49.4,2.8,1791
49.1,7.1,1777
48.7,1.4,1775
43.5,4.9,1764
45.7,6.4,1741
47.3,-2.4,1731
47.1,5.5,1725
43.9,2.1,1690
48.6,2.3,1686
45.9,6.6,1673
47.0,4.8,1645
46.2,-1.1,1641
44.7,-1.2,1625
44.9,-0.5,1617
49.9,3.3,1612
43.2,2.3,1601
45.2,5.8,1597
44.9,-0.2,1580
45.1,5.7,1565
47.2,2.1,1548
50.5,2.6,1542
44.7,4.6,1528
43.7,1.4,1515
45.7,0.2,1515
50.4,2.9,1506
44.4,2.6,1506
48.6,-3.1,1493
47.3,-1.6,1483
