annee,mois,marches
2019,1,8778
2019,2,7790
2019,3,10137
2019,4,11604
2019,5,11697
2019,6,13766
2019,7,17803
2019,8,8922
2019,9,9969
2019,10,13480
2019,11,12418
2019,12,15539
2020,1,17167
2020,2,14671
2020,3,15912
2020,4,9782
2020,5,9970
2020,6,15975
2020,7,18402
2020,8,11797
2020,9,15591
2020,10,18360
2020,11,17690
2020,12,25866
2021,1,19394
2021,2,17148
2021,3,22621
2021,4,20730
2021,5,20351
2021,6,25923
2021,7,25272
2021,8,16088
2021,9,18590
2021,10,20441
2021,11,22385
2021,12,32342
2022,1,22521
2022,2,19002
2022,3,23460
2022,4,21854
2022,5,24668
2022,6,26848
2022,7,28718
2022,8,19387
2022,9,20045
2022,10,22863
2022,11,25056
2022,12,33054
2023,1,25627
2023,2,20692
2023,3,25395
2023,4,20509
2023,5,21966
2023,6,27988
2023,7,28469
2023,8,19463
2023,9,20020
2023,10,25830
2023,11,26486
2023,12,33911
2024,1,25043
2024,2,24034
2024,3,26861
2024,4,27278
2024,5,22868
2024,6,29693
2024,7,34652
2024,8,18037
2024,9,21031
2024,10,28209
2024,11,25794
2024,12,38612
2025,1,28036
2025,2,21422
2025,3,26031
2025,4,27386
2025,5,24971
2025,6,31116
2025,7,37655
2025,8,19208
2025,9,25345
2025,10,32751
2025,11,29047
2025,12,40788
